event_id,time,src,dst,country,event_type,label
0,0.0,Citizen (Thailand),Unspecified Actor,Thailand,16564963,1
24,0.0,Protester (Senegal),Senelec,Senegal,16564880,1
23,0.0,Citizen (Senegal),Unspecified Actor,Senegal,16564879,1
10,0.0,Student (Yemen),Unspecified Actor,Yemen,16566149,1
11,0.0,Citizen (Ukraine),Unspecified Actor,Ukraine,16566351,1
12,0.0,Protester (Italy),Police (Italy),Italy,16566527,1
13,0.0,Citizen (Jordan),Unspecified Actor,Jordan,16566711,1
14,0.0,Pilgrim (Nigeria),Nigeria,Nigeria,16566741,1
7,0.0,Men (United States),Unspecified Actor,United States,16565740,1
8,0.0,Activist (Likud),Unspecified Actor,Israel,16565973,1
17,0.0,Citizen (India),Unspecified Actor,India,16562490,1
18,0.0,Activist (China),China,China,16562702,1
19,0.0,Citizen (Russia),Unspecified Actor,Russian Federation,16562713,1
20,0.0,Vladimir Putin,Unspecified Actor,Russian Federation,16562714,1
21,0.0,Employee (Bangladesh),Unspecified Actor,Bangladesh,16562834,1
22,0.0,Citizen (Russia),Unspecified Actor,Russian Federation,16562837,1
15,0.0,Pilgrim (Nigeria),Daily Trust,Nigeria,16566742,1
16,0.0,Citizen (United States),Unspecified Actor,United States,16567073,1
9,0.0,Activist (Likud),Unspecified Actor,Israel,16566065,1
2,0.0,Protester (India),Unspecified Actor,India,16565477,1
5,0.0,Student (Bangladesh),Unspecified Actor,Bangladesh,16565711,1
6,0.0,Protester (Bangladesh),Unspecified Actor,Bangladesh,16565712,1
3,0.0,Citizen (France),Unspecified Actor,France,16565619,1
4,0.0,Citizen (Pakistan),Unspecified Actor,Pakistan,16565624,1
1,0.0,Protester (Russia),Unspecified Actor,Russian Federation,16565053,1
43,1.0,Citizen (Sudan),Unspecified Actor,Sudan,16571447,1
44,1.0,Protester (Sudan),Government (Sudan),Sudan,16571446,1
39,1.0,Protester (Tanzania),Police (Tanzania),Tanzania,16570804,1
27,1.0,Citizen (Afghanistan),Unspecified Actor,Afghanistan,16569894,1
28,1.0,Citizen (Afghanistan),Unspecified Actor,Afghanistan,16569895,1
25,1.0,Student (Afghanistan),Unspecified Actor,Afghanistan,16569850,1
26,1.0,Jew (Israel),Unspecified Actor,Israel,16569862,1
48,1.0,Protester (Tanzania),Police (Tanzania),Tanzania,16571898,1
47,1.0,Citizen (France),Unspecified Actor,France,16571544,1
49,1.0,Protester (Tanzania),Police (Tanzania),Tanzania,16571895,1
50,1.0,People's Alliance for Democracy,Unspecified Actor,Thailand,16571963,1
51,1.0,Citizen (India),Government (India),India,16567151,1
52,1.0,Activist (Tibet Autonomous Region),Unspecified Actor,China,16567236,1
58,1.0,Activist (Brazil),Brazil,Brazil,16569763,1
57,1.0,Activist (Brazil),Brazil,Brazil,16569753,1
56,1.0,Citizen (Argentina),Unspecified Actor,Argentina,16567538,1
55,1.0,Human Rights Activist (France),Unspecified Actor,France,16567400,1
36,1.0,Protester (Taiwan),Unspecified Actor,Taiwan,16570580,1
35,1.0,Employee (France),Nicolas Sarkozy,France,16570568,1
32,1.0,Protester (Italy),Police (Italy),Italy,16570378,1
31,1.0,Student (France),France,France,16570104,1
