coarse_id,coarse_name,tag,count,nll_mean,rmse_mean,mae_mean,cov90_mean
0,Other,all,737,-16.991541814609977,1.701371793568605,0.6013426054041615,0.0
0,Other,ood,303,-16.646380490595753,2.5867181955074243,0.8289512769617263,0.0
0,Other,seen,434,-17.23251849934802,0.49411790618925555,0.442436090468811,0.0
1,Protest,all,3,-16.94696044921875,0.487612884852098,0.47547831137975055,0.0
1,Protest,ood,1,-16.946264266967773,0.47866099737953244,0.46629810333251953,0.0
1,Protest,seen,2,-16.94730854034424,0.4920277563354467,0.4800684154033661,0.0
2,Violence,all,3,-17.5806401570638,0.5405762790122431,0.4952935576438904,0.0
2,Violence,ood,2,-17.52785873413086,0.5929475431205917,0.5440577566623688,0.0
2,Violence,seen,1,-17.686203002929688,0.4165267848610407,0.3977651596069336,0.0
3,Diplomacy,all,3,-16.944162368774414,0.45196349808799297,0.4386802117029826,0.0
3,Diplomacy,ood,2,-16.944249153137207,0.4530471373121644,0.43980617821216583,0.0
3,Diplomacy,seen,1,-16.943988800048828,0.4497883875316386,0.4364282786846161,0.0
4,Economic,all,3,-16.943952560424805,0.44933518269138967,0.43595829606056213,0.0
4,Economic,ood,2,-16.943952560424805,0.44933518269138967,0.43595829606056213,0.0
4,Economic,seen,1,-16.943952560424805,0.44933518269138967,0.43595829606056213,0.0
